CatalogKey,StockItemKey,PriceGroup,CurrencyCode,Price,Retail
ALL,840290904486,LP,USD,109.5,219.0
ALL,840290904608,LP,USD,134.5,269.0
ALL,840290904615,LP,USD,134.5,269.0
ALL,840290904844,LP,USD,134.5,269.0
ALL,840290904851,LP,USD,134.5,269.0
ALL,840290904820,LP,USD,109.5,219.0
ALL,840290904929,LP,USD,134.5,269.0
ALL,840290904936,LP,USD,109.5,219.0
ALL,840290904868,LP,USD,109.5,219.0
ALL,840290904875,LP,USD,109.5,219.0
ALL,840290904905,LP,USD,134.5,269.0
ALL,840290904882,LP,USD,134.5,269.0
ALL,840290904899,LP,USD,109.5,219.0
ALL,840290904479,LP,USD,109.5,219.0
ALL,840290904509,LP,USD,134.5,269.0
ALL,840290904516,LP,USD,134.5,269.0
ALL,840290904547,LP,USD,134.5,269.0
ALL,840290904554,LP,USD,134.5,269.0
ALL,840290904523,LP,USD,109.5,219.0
ALL,840290905575,LP,USD,134.5,269.0
ALL,840290904592,LP,USD,109.5,219.0
ALL,840290904530,LP,USD,109.5,219.0
ALL,840290904561,LP,USD,109.5,219.0
ALL,840290904578,LP,USD,109.5,219.0
ALL,840290904585,LP,USD,109.5,219.0
ALL,840290917493,LP,USD,134.5,269.0
ALL,810070829179,LP,USD,134.5,269.0
ALL,810070829186,LP,USD,134.5,269.0
ALL,810070829193,LP,USD,134.5,269.0
ALL,810070829735,LP,USD,134.5,269.0
ALL,840290917530,LP,USD,134.5,269.0
ALL,810070829209,LP,USD,109.5,219.0
ALL,810070829216,LP,USD,109.5,219.0
ALL,810070829223,LP,USD,109.5,219.0
ALL,810070829247,LP,USD,109.5,219.0
ALL,810070829254,LP,USD,109.5,219.0
ALL,840290900129,LP,USD,109.5,219.0
ALL,810070829261,LP,USD,134.5,269.0
ALL,810070829278,LP,USD,134.5,269.0
ALL,810070829285,LP,USD,134.5,269.0
ALL,810070829292,LP,USD,134.5,269.0
ALL,810070829742,LP,USD,134.5,269.0
ALL,810070829308,LP,USD,109.5,219.0
ALL,810070829315,LP,USD,109.5,219.0
ALL,810070829322,LP,USD,109.5,219.0
ALL,810070829339,LP,USD,109.5,219.0
