Region,CatalogKey,ItemNumber,ColorCode,TagName,TagValue
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BASSLSBPRF,0KA,Product Type,Apparel - Shirts
GLOBAL,ALL,BLGILLTHX,0AC,Product Type,Apparel - Hats
GLOBAL,ALL,BOATKOOZIE,3KA,Product Type,Accessories
GLOBAL,ALL,BONEFISHCFB,0KA,Product Type,Apparel - Hats
GLOBAL,ALL,BRKINGPATCH,7LA,Product Type,Apparel - Hats
GLOBAL,ALL,CAB111000,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111001,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111020,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111021,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111102,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111103,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111122,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111123,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111606,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111626,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111704,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111724,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111N00,111,Product Type,Sunglasses
GLOBAL,ALL,CAB111N20,111,Product Type,Sunglasses
GLOBAL,ALL,CAB115000,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115001,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115020,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115021,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115102,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115103,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115122,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115123,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115606,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115626,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115704,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115724,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115N00,115,Product Type,Sunglasses
GLOBAL,ALL,CAB115N20,115,Product Type,Sunglasses
GLOBAL,ALL,CAB17M000,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M001,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M020,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M021,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M102,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M103,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M122,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M123,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M606,17M,Product Type,Sunglasses
GLOBAL,ALL,CAB17M626,17M,Product Type,Sunglasses
